,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,2.1225359617024145e-10,5.4559452301384465e-09,3.7834393057160307e-16,9.896480104487696e-08
1,Ocean_Mixed_Water,2.1226884728579014e-07,5.46546029717114e-06,3.783711158212591e-16,9.913739381773275e-08
2,Ocean_Column_Water,0.00022520380749805556,0.12521144430090364,1.340690897864837e-14,7.585356502540814e-05
3,Coast_Surface_Water,1.4335224972886523e-14,8.95211236170633e-11,9.954832712258175e-19,6.326070353636239e-08
4,Coast_Column_Water,7.373953807168188e-12,4.48876790398995e-08,1.0229827256468942e-18,6.336859491461573e-08
5,Surface_Freshwater,7.641010642758631e-34,6.791989852925354e-30,5.177169478643537e-38,4.682929780802002e-27
6,Bulk_Freshwater,2.38800426296527e-31,2.047094756533539e-27,5.38339628537011e-38,4.696109753811625e-27
7,Sediment_Freshwater,3.476525112889614e-26,1.2987562701659854e-24,7.837302750660135e-30,2.979394074790383e-21
8,Sediment_Ocean,99.99976973654023,99.87465603712046,0.0005953219999422819,6050.4443171312505
9,Sediment_Coast,4.847163735578388e-06,0.0001270026852158242,1.1215844336880253e-09,0.2990447799648708
10,Urban_Soil_Surface,1.138507786060347e-27,3.2706609586468836e-26,2.484390397197462e-32,7.262704988872827e-24
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,1.7989233345579856e-27,5.167877101918922e-26,2.4843903971974616e-32,7.262704988872828e-24
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,5.996411115193286e-29,1.72262570063964e-27,6.210975992993654e-33,1.8156762472182067e-24
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,6.335011132421293e-30,1.65502703399675e-28,1.269451498873776e-40,3.374837468723569e-32
