,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,962.8908461171701,962.8908461171701,0.0,2.0262578638404842e-10,1959.1796497441774
Ocean_Mixed_Water,962.9119825032183,962.9119825032185,-2.2737367544323206e-13,2.0262276855566482e-10,1959.151379652505
Ocean_Column_Water,1.1071336771682296,1.10713367716823,-4.440892098500626e-16,1.4314433720346244e-10,1384.2306057040516
Coast_Surface_Water,16.27912598036575,16.27912598036575,0.0,1.3343441492409555e-10,1290.3320948645637
Coast_Column_Water,16.318334763128412,16.318334763128412,0.0,1.3359484636027176e-10,1291.8835288690152
Surface_Freshwater,5.948659801881095e-19,5.948659801881093e-19,1.925929944387236e-34,9.780899262288235e-30,9.458298628678715e-17
Bulk_Freshwater,5.961845723453506e-19,5.961845723453508e-19,-1.925929944387236e-34,9.802499586854588e-30,9.479187303327815e-17
Sediment_Freshwater,1.7973105144764322e-21,1.7973105144764322e-21,0.0,4.893436512545274e-24,4.7320380729344964e-11
Sediment_Ocean,1.0937353246083217,1.0937353246083215,2.220446049250313e-16,0.0011427192800275712,11050293977.310038
Sediment_Coast,0.0196231721652945,0.0196231721652945,0.0,0.00035707467760792905,3452971111.4223394
Urban_Soil_Surface,1.843876983674332e-22,1.8438769836743318e-22,2.350988701644575e-38,1.3307504134077647e-26,1.2867018227270866e-13
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,2.9134568710014357e-22,2.9134568710014353e-22,4.70197740328915e-38,1.3307504134077647e-26,1.2867018227270866e-13
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,9.711522903338119e-24,9.711522903338118e-24,1.4693679385278594e-39,3.326876033519412e-27,3.216754556817717e-14
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.6728033150374616e-21,1.6728033150374623e-21,-7.52316384526264e-37,6.913021280607651e-35,6.684183146805568e-22
