species,Compartment,MP_Form,Size_Fraction_um,number_fraction
bB8_Utopia,Sediment_Ocean,heterMP,5.0,0.37404608723419464
aB8_Utopia,Sediment_Ocean,heterMP,0.5,0.3426469346026285
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.19091657466493026
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.049330427994270884
cB8_Utopia,Sediment_Ocean,heterMP,50.0,0.04073873384026652
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0008094053141278248
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.0006405449784670927
dB8_Utopia,Sediment_Ocean,heterMP,500.0,0.000426644262312998
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,0.0002581045850461468
aB2_Utopia,Ocean_Column_Water,heterMP,0.5,9.201394362460895e-05
